Name,Category,Website link,Documentation Link,Discord link,Server ID,
Uniswap,DeFi,https://uniswap.org/,https://docs.uniswap.org/,https://discord.com/invite/fwS6NkvzaW,https://discord.com/channels/597638925346930701/,597638925346930701
AAVE,DeFi,https://aave.com/,https://docs.aave.com/hub/,https://discord.com/invite/aave,https://discord.com/channels/602826299974877205/602826300813606923/969329531926241352,602826299974877205
Sushiswap,DeFi,https://www.sushi.com/,https://dev.sushi.com/,https://discord.com/invite/CD2YdZzb7Z,https://discord.com/channels/748031363935895552/749850975581241374/969321572114522162,748031363935895552
ENS,Identity & Auth,https://ens.domains/,https://docs.ens.domains/,https://discord.com/invite/43JwSy9g,https://discord.com/channels/742384562646286509/,742384562646286509
Metamask,Identity & Auth,https://metamask.io/,https://docs.metamask.io/guide/,https://community.metamask.io/,,#N/A
Argent,Identity & Auth,https://www.argent.xyz/,https://docs.argent.xyz/wallet-connect-and-argent,https://discord.com/invite/BNFdWAs,https://discord.com/channels/598897994477207572/725702016357236806/918153859552145471,598897994477207572
Opensea,NFTs,https://opensea.io/,https://docs.opensea.io/,https://discord.com/invite/opensea,https://discord.com/channels/397566282729390110/828781052776022087/846787562906845195,397566282729390110
Nifty Gateway,NFTs,https://niftygateway.com/,https://niftygateway.notion.site/Nifty-Gateway-OAuth-Public-API-12d0a73c3ca24ab096084fa0334ba895,https://discord.com/invite/niftygateway,https://discord.com/channels/521080105548906528/836741723438317578/909846257575559249,521080105548906528
Rarible,NFTs,https://rarible.com/,https://guide.rarible.com/,https://discord.com/invite/rarible,https://discord.com/channels/722374645528920105/759152130161639495/778273607339343901,722374645528920105
Nansen,Data,https://www.nansen.ai/,https://www.nansen.ai/resources,,,#N/A
Chainlink,Data,https://data.chain.link/,https://docs.chain.link/,https://discord.com/invite/chainlink,https://discord.com/channels/592041321326182401/941038613309816892/941567620853952532,592041321326182401
The Graph,Data,https://thegraph.com/en/,https://thegraph.com/docs/en/,https://thegraph.com/docs/en/developer/developer-faq/,,#N/A
Ether.js,Web3 Native Libraries,https://ethers.org/,https://docs.ethers.io/v5/,https://discord.com/invite/qYtSscGYYc,https://discord.com/channels/717003406484701255/717009571536699571/969331829037469716,717003406484701255
Web3.js,Web3 Native Libraries,,https://web3js.readthedocs.io/en/v1.7.3/,,,#N/A
Alchemy Web3,Web3 Native Libraries,https://www.alchemy.com/,https://docs.alchemy.com/alchemy/,https://discord.com/invite/mMGsVgd,https://discord.com/channels/735965332958871634/735965333600338072/969340822766112798,735965332958871634
Hardhat,Developer Environments,https://hardhat.org/,https://hardhat.org/getting-started/,https://discord.com/invite/TETZs2KK4k,https://discord.com/channels/750408878008827925/786693954754183208/788865708829442102,750408878008827925
Truffle,Developer Environments,https://trufflesuite.com/,https://trufflesuite.com/docs/,https://gitter.im/ConsenSys/truffle,,#N/A
Brownie,Developer Environments,,https://eth-brownie.readthedocs.io/en/stable/,https://gitter.im/eth-brownie/community,,#N/A
IPFS,File Storage,https://ipfs.io/,https://docs.ipfs.io/,,,#N/A
Filebase,File Storage,https://filebase.com/,https://docs.filebase.com/,https://discord.com/invite/sEpRQ8rG27,https://discord.com/channels/827386332795371560/827386332795371564/941439123007365160,827386332795371560
Arweave,File Storage,https://www.arweave.org/,https://www.arweave.org/build,https://discord.com/invite/BXk8tq7,https://discord.com/channels/357957786904166400/358236422617956353/959408015805657148,357957786904166400
Supernode,Data Access,https://www.alchemy.com/supernode,,,,#N/A
NFT API,Data Access,https://docs.alchemy.com/alchemy/enhanced-apis/nft-api,,,,#N/A
Showtrace,Block Explorers,https://snowtrace.io/,,,,#N/A
Etherscan,Block Explorers,,,,,#N/A
Polygonscan,Block Explorers,https://polygonscan.com/apis,https://docs.polygonscan.com/,,,#N/A
Ethereum,EVM Blockchains,https://ethereum.org/en/,https://ethereum.org/en/developers/docs/,https://discord.com/invite/CetY6Y4,https://discord.com/channels/714888181740339261/783008326333497394/938179613711028284,714888181740339261
Polygon,EVM Blockchains,https://polygon.technology/,https://polygon.technology/developers,https://discord.com/invite/polygon,https://discord.com/channels/635865020172861441/843128369293557765/931578974696530002,635865020172861441
Arbitrum,EVM Blockchains,https://bridge.arbitrum.io/,https://developer.offchainlabs.com/docs/developer_quickstart,https://discord.com/invite/arbitrum,https://discord.com/channels/585084330037084172/890242203933356042/890267475315421255,585084330037084172
Avalanche,EVM Blockchains,https://www.avax.network/,https://www.avalabs.org/whitepapers,https://discord.com/invite/RwXY7P6,,#N/A
Starknet,EVM Blockchains,https://starkware.co/starknet/,https://www.cairo-lang.org/docs/,https://discord.com/invite/uJ9HZTUk2Y,https://discord.com/channels/793094838509764618/836974703956459562/915613881366364261,793094838509764618
Cronos,EVM Blockchains,https://cronos.org/,https://cronos.org/docs/,https://discord.com/invite/pahqHz26q4,https://discord.com/channels/783264383978569728/783264383978569732/969326620617883648,783264383978569728
Optimism,EVM Blockchains,https://www.optimism.io/,https://community.optimism.io/,https://discord.com/invite/jkbtt3AH,https://discord.com/channels/667044843901681675/958132452986077194/958145289817042984,667044843901681675
ZK Sync,EVM Blockchains,https://zksync.io/,https://docs.zksync.io/userdocs/,,,#N/A
Near,Non-EVM Blockchains,https://near.org/,https://docs.near.org/docs/develop/basics/getting-started,https://discord.com/invite/UY9Xf2k,https://discord.com/channels/490367152054992913/946254170560811008/969257755653308486,490367152054992913
Flow,Non-EVM Blockchains,https://www.figment.io/protocols/flow,https://learn.figment.io/,https://discord.com/invite/fszyM7K,https://discord.com/channels/741351331222126663/741383321422004315/823615232118358059,741351331222126663
Solana,Non-EVM Blockchains,https://solana.com/,https://docs.solana.com/?utm_source=solana.com,https://discord.com/invite/solana,https://discord.com/channels/428295358100013066/796351569921703946/804587306534043669,428295358100013066
Terra,Non-EVM Blockchains,https://www.terra.money/,https://docs.terra.money/,https://discord.com/invite/terra-money,https://discord.com/channels/464241079042965516/852208703394152471/956945718973693992,464241079042965516
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
,,,,,,#N/A
